Source,Target
49,5
49,13
49,21
49,22
49,30
49,34
49,39
50,7
50,18
50,26
50,32
60,6
60,28
61,3
61,6
61,15
61,16
61,18
61,20
61,25
61,36
66,72
66,86
66,88
66,89
66,95
66,113
66,114
66,115
66,120
66,121
67,85
67,93
67,116
70,2
70,7
70,11
70,12
70,17
70,19
71,18
71,19
71,24
71,29
71,32
72,7
72,15
72,16
72,20
72,21
72,27
72,29
72,35
73,1
73,5
73,11
73,17
73,29
73,35
73,37
74,88
74,111
74,121
75,6
75,14
75,25
75,31
79,49
79,50
79,57
79,58
79,60
79,61
79,62
79,63
79,64
79,65
79,66
79,67
79,68
79,69
79,70
79,73
79,74
79,75
79,76
79,77
79,78
79,79
79,80
79,81
79,83
79,84
79,87
79,90
79,91
79,92
79,96
79,97
79,98
79,99
79,100
79,104
79,105
79,109
79,112
79,117
79,118
79,146
84,82
84,85
84,93
84,101
84,102
84,103
84,106
84,107
84,110
84,116
85,21
85,32
85,38
86,14
86,27
88,6
88,9
88,13
88,23
88,24
88,28
88,29
88,30
88,31
88,38
89,5
89,7
89,10
89,14
89,35
90,12
90,15
90,18
90,19
90,22
90,32
90,35
90,36
90,37
91,14
91,23
91,30
92,3
92,22
93,2
93,8
93,17
93,29
93,32
93,39
95,16
95,17
95,20
95,21
95,26
95,29
95,33
96,13
96,18
96,24
96,30
96,37
97,9
97,13
97,15
97,18
97,20
97,21
97,22
97,24
97,25
97,31
97,37
98,11
98,13
98,23
98,24
98,30
98,32
99,7
99,22
99,25
99,26
99,37
100,2
100,4
100,6
101,2
101,21
101,30
101,33
102,2
102,13
102,16
102,39
103,1
103,3
103,14
103,20
103,21
103,22
103,26
103,27
104,36
104,80
104,87
104,104
104,108
105,1
105,20
106,21
106,32
106,88
106,111
106,121
107,3
107,14
107,31
108,9
108,18
108,23
109,111
111,1
111,4
111,10
111,13
111,26
112,2
112,6
112,11
112,14
112,26
112,30
112,35
113,3
113,5
113,11
113,12
113,18
113,20
113,31
113,33
114,2
114,7
114,11
114,25
114,30
114,34
115,5
115,6
115,19
115,20
115,24
115,30
115,36
116,12
116,18
116,31
116,32
117,1
117,5
117,12
117,17
117,18
117,20
117,26
118,2
118,5
118,12
119,7
119,13
119,24
119,25
119,28
119,31
119,34
120,1
120,4
120,6
120,13
120,27
120,31
120,32
121,4
121,5
121,8
121,13
121,18
121,34
146,95
148,49
148,50
148,57
148,60
148,61
148,62
148,63
148,64
148,65
148,66
148,67
148,68
148,69
148,74
148,75
148,76
148,79
148,83
148,90
148,91
148,92
148,97
148,100
148,109
148,117
148,118
148,147
148,148
148,149
148,153
148,155
153,7
153,19
153,26
153,31
