Girvanella_sp.,Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Not_specified,1,0.03,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Botryococcus_sp.,Plantae,Chlorophyta,Trebouxiophyceae,Trebouxiales,Botryococcaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Pediastrum_sp.,Plantae,Chlorophyta,Chlorophyceae,Sphaeropleales,Hydrodictyaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Clavatoraxis_diaz-romaerali,Plantae,Charophyta,Charophyceae,Charales,Characeae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Clavatoraxis_robustus,Plantae,Charophyta,Charophyceae,Charales,Characeae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Charaxis_spicatus,Plantae,Charophyta,Charophyceae,Charales,Characeae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Palaeonitella_vermicularis,Plantae,Charophyta,Charophyceae,Charales,Characeae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Nitella_sp.,Plantae,Charophyta,Charophyceae,Charales,Characeae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Atopochara_trivolvis,Plantae,Charophyta,Charophyceae,Charales,Characeae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Globator_maillardii,Plantae,Charophyta,Charophyceae,Charales,Characeae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Clavator_harrisii,Plantae,Charophyta,Charophyceae,Charales,Characeae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Ascidiella_cruciata,Plantae,Charophyta,Charophyceae,Charales,Characeae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Mesochara_harrisii,Plantae,Charophyta,Charophyceae,Charales,Characeae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Paxillitriletes_sp.,Plantae,Tracheophyta,Lycopodiopsida,Not_specified,Not_specified,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Weichselia_reticulata,Plantae,Tracheophyta,Polypodiopsida,Gleicheniales,Matoniaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
