Source,Target
49,4
49,5
49,7
49,29
49,31
49,36
49,39
50,5
50,18
50,23
50,31
50,49
50,63
60,1
60,13
60,16
60,20
60,24
61,5
61,18
61,24
61,26
63,57
63,61
63,65
63,66
63,74
63,90
63,92
63,109
64,88
64,89
64,111
64,115
64,119
64,121
69,119
70,1
70,10
70,14
70,23
70,29
70,37
71,17
71,19
71,34
71,37
72,1
72,5
72,31
72,33
72,35
72,36
72,39
73,9
73,15
73,20
73,22
73,25
73,27
73,30
73,38
75,4
75,7
75,10
75,15
75,22
75,24
75,31
79,49
79,50
79,57
79,58
79,60
79,61
79,62
79,63
79,64
79,65
79,66
79,67
79,68
79,69
79,70
79,71
79,72
79,73
79,74
79,75
79,76
79,77
79,78
79,79
79,80
79,81
79,82
79,83
79,84
79,85
79,86
79,87
79,88
79,89
79,90
79,91
79,92
79,93
79,95
79,96
79,97
79,98
79,99
79,100
79,101
79,102
79,103
79,104
79,105
79,106
79,107
79,108
79,109
79,110
79,111
79,112
79,113
79,114
79,115
79,116
79,117
79,118
79,119
79,120
79,121
79,146
85,1
85,10
85,12
85,37
86,3
87,12
87,31
87,34
88,22
88,23
88,24
88,32
89,11
89,12
89,14
89,21
89,30
89,38
90,9
90,13
90,14
90,19
90,22
90,24
90,27
91,9
91,25
91,34
91,41
92,1
93,2
93,12
93,16
93,35
95,6
95,17
95,18
95,23
95,26
95,37
96,5
96,16
96,17
96,19
96,24
96,32
97,10
97,12
97,24
97,26
97,27
97,30
98,3
98,4
98,6
98,12
98,15
98,19
98,37
99,27
99,31
99,34
99,36
99,37
100,15
100,16
100,24
100,29
100,33
100,34
100,37
101,6
101,8
101,14
101,15
101,22
101,27
101,29
101,32
102,3
102,7
102,11
102,12
102,14
102,33
102,35
102,37
103,5
103,10
103,14
103,23
103,29
103,35
104,8
104,20
105,2
105,24
106,16
106,31
106,32
107,6
107,8
107,16
107,38
107,95
108,1
108,10
108,38
108,39
111,4
111,6
111,7
111,13
111,16
111,23
111,31
111,39
112,13
112,15
112,20
112,31
112,32
113,4
113,9
113,10
113,25
113,31
113,33
114,19
114,20
114,24
115,4
115,5
115,12
115,14
115,20
115,24
115,32
115,34
115,35
115,36
116,31
116,37
117,4
117,5
117,10
117,32
117,36
117,38
118,9
118,28
118,38
119,3
119,8
119,13
119,30
119,32
119,38
120,4
120,5
120,8
120,9
120,23
120,27
120,28
120,29
120,36
121,4
121,10
121,36
147,72
147,86
147,113
147,114
149,119
153,6
153,20
153,39
