Source,Target,Type
49,2,1
49,10,1
49,26,1
49,29,1
49,33,1
49,38,1
50,30,1
50,33,1
57,119,2
60,10,1
60,19,1
60,20,1
60,25,1
60,27,1
60,30,1
61,1,1
61,8,1
61,20,1
61,30,1
61,35,1
64,68,2
65,71,2
65,72,2
65,82,2
65,86,2
65,88,2
65,89,2
65,95,2
65,101,2
65,102,2
65,103,2
65,106,2
65,107,2
65,110,2
65,111,2
65,113,2
65,114,2
65,115,2
65,119,2
65,120,2
65,121,2
66,50,2
66,57,2
66,58,2
66,60,2
66,61,2
66,62,2
66,63,2
66,64,2
66,65,2
66,66,2
66,67,2
66,68,2
66,69,2
66,70,2
66,71,2
66,72,2
66,73,2
66,74,2
66,75,2
66,76,2
66,77,2
66,78,2
66,79,2
66,80,2
66,81,2
66,82,2
66,83,2
66,84,2
66,85,2
66,86,2
66,87,2
66,89,2
66,90,2
66,91,2
66,92,2
66,93,2
66,95,2
66,96,2
66,97,2
66,98,2
66,99,2
66,100,2
66,101,2
66,102,2
66,103,2
66,104,2
66,105,2
66,106,2
66,107,2
66,108,2
66,109,2
66,110,2
66,112,2
66,113,2
66,114,2
66,115,2
66,116,2
66,117,2
66,118,2
66,120,2
66,146,2
70,11,1
70,18,1
70,20,1
70,25,1
70,31,1
70,35,1
70,39,1
71,3,1
71,16,1
71,21,1
71,23,1
71,25,1
71,32,1
72,3,1
72,5,1
72,12,1
72,19,1
72,22,1
73,19,1
73,25,1
73,26,1
73,27,1
73,33,1
75,10,1
75,11,1
75,24,1
75,34,1
75,38,1
76,57,2
76,58,2
76,60,2
76,61,2
76,70,2
76,71,2
76,72,2
76,73,2
76,74,2
76,76,2
76,77,2
76,78,2
76,80,2
76,81,2
76,82,2
76,83,2
76,84,2
76,85,2
76,86,2
76,87,2
76,88,2
76,89,2
76,90,2
76,91,2
76,92,2
76,93,2
76,95,2
76,96,2
76,97,2
76,98,2
76,99,2
76,100,2
76,101,2
76,102,2
76,103,2
76,104,2
76,105,2
76,106,2
76,107,2
76,108,2
76,110,2
76,111,2
76,112,2
76,113,2
76,114,2
76,115,2
76,116,2
76,117,2
76,118,2
76,119,2
76,120,2
76,121,2
76,146,2
77,71,2
77,72,2
77,82,2
77,85,2
77,86,2
77,93,2
77,101,2
77,102,2
77,103,2
77,106,2
77,107,2
77,110,2
77,113,2
77,114,2
77,116,2
77,120,2
82,72,2
82,113,2
83,111,2
85,1,1
85,3,1
85,7,1
85,28,1
86,26,1
86,29,1
86,34,1
87,8,1
87,11,1
87,20,1
87,147,3
87,148,3
87,149,3
87,155,3
88,2,1
88,9,1
88,19,1
88,31,1
89,4,1
89,10,1
89,14,1
89,15,1
90,2,1
90,4,1
90,11,1
90,17,1
90,19,1
90,33,1
91,31,1
92,26,1
92,29,1
92,30,1
92,33,1
93,4,1
93,7,1
93,11,1
93,13,1
93,17,1
93,18,1
93,38,1
93,39,1
95,4,1
95,5,1
95,6,1
95,8,1
95,10,1
95,22,1
95,25,1
95,27,1
95,29,1
95,34,1
96,2,1
96,6,1
96,24,1
96,26,1
96,31,1
96,33,1
96,36,1
97,3,1
97,4,1
97,9,1
97,14,1
97,16,1
97,27,1
97,28,1
97,31,1
97,34,1
98,5,1
98,24,1
98,36,1
98,39,1
99,2,1
99,5,1
99,15,1
99,26,1
99,37,1
99,38,1
100,9,1
100,13,1
100,14,1
100,21,1
100,30,1
100,34,1
101,8,1
101,13,1
101,19,1
101,23,1
101,26,1
101,27,1
102,6,1
102,11,1
102,21,1
102,32,1
102,37,1
103,1,1
103,5,1
103,14,1
103,27,1
104,30,1
104,39,1
105,6,1
105,12,1
105,23,1
106,12,1
106,19,1
106,71,2
106,72,2
106,82,2
106,85,2
106,88,2
106,89,2
106,93,2
106,95,2
106,102,2
106,103,2
106,106,2
106,108,2
106,113,2
106,114,2
106,115,2
106,116,2
106,119,2
106,120,2
106,121,2
107,21,1
107,36,1
108,32,1
110,72,2
110,88,2
110,89,2
110,95,2
110,111,2
110,113,2
110,115,2
110,121,2
111,12,1
111,14,1
111,19,1
111,25,1
111,32,1
111,33,1
111,34,1
112,16,1
112,21,1
112,24,1
112,25,1
112,32,1
113,4,1
113,9,1
113,11,1
113,13,1
113,20,1
113,22,1
113,23,1
113,35,1
113,39,1
114,3,1
114,10,1
114,12,1
114,17,1
114,21,1
114,22,1
114,27,1
114,28,1
114,29,1
114,35,1
115,3,1
115,4,1
115,6,1
115,10,1
115,13,1
115,14,1
115,38,1
116,4,1
116,23,1
117,2,1
117,12,1
118,5,1
118,7,1
118,8,1
118,10,1
118,17,1
118,28,1
118,30,1
118,35,1
118,36,1
119,10,1
119,20,1
119,25,1
119,27,1
119,39,1
120,1,1
120,8,1
120,12,1
120,28,1
120,35,1
121,5,1
121,17,1
121,26,1
121,31,1
153,15,1
153,19,1
153,33,1
