Id,Label,Size
1,Girvanella_sp.,10
2,Botryococcus_sp.,10
3,Pediastrum_sp.,10
4,Clavatoraxis_diaz-romaerali,10
5,Clavatoraxis_robustus,10
6,Charaxis_spicatus,10
7,Palaeonitella_vermicularis,10
8,Nitella_sp.,10
9,Atopochara_trivolvis,10
10,Globator_maillardii,10
11,Clavator_harrisii,10
12,Ascidiella_cruciata,10
13,Mesochara_harrisii,10
14,Paxillitriletes_sp.,10
15,Weichselia_reticulata,10
16,Ruffordia_goepperti,10
17,Onychiopsis_psilotoides,10
18,Cladophlebis_sp.,10
19,Sphenopteris_sp.,10
20,Coniopteris_sp.,10
21,Dicksonia_sp.,10
22,Frenelopsis_ugnaensis,10
23,Brachyphyllum_sp.,10
24,Pagiophyllum_pedreranum,10
25,Glenrosa_falcata,10
26,Sphenolepis_kurriana,10
27,Cupressinocladus_sp.,10
28,Watsoniocladus_sp.,10
29,Lindleycladus_sp.,10
30,Podozamites_sp.,10
31,Podocarpites_sp.,10
32,Zamites_sp.,10
33,Drewria_potomacensis,10
34,Montsechai_vidalii,10
35,Ranunculus_ferreri,10
36,Proteaephyllum_reniforme,10
37,Ficophyllum_sp.,10
38,Iterophyllum_lobatum,10
39,Viriphyllum_sp.,10
40,Austrapotamobius_llopisi,10
41,Delclosia_martinelli,10
42,Cypridea_sp.,10
43,Mantelliana_sp.,10
44,Damonella_sp.,10
45,Theriosynoecum_sp.,10
46,Scabriculocypris_sp.,10
47,Alicenula_sp.,10
48,Spinogriphus_ibericus_,10
49,Unio_elongatus,10
50,Unio_turgidulus,10
51,Unio_semirectus,10
52,Viviparus_inflatus,10
53,Juramarinula_sp.,10
54,Prophysa_bristovii,10
55,Gyraulus_loryi,10
56,Gyraulus_choffati,10
57,Macryphantes_cowdeni,10
58,Huerguina_diazromerali,10
59,Julus_sp.,10
60,Euthyplocia_sp.,10
61,Leptophlebia_sp.,10
62,Angloaeschnidium_montreuli,10
63,Gigantoaeschnidium_ibericus,10
64,Hispanostenophlebia_barremiana,10
65,Iberoaeschnidium_conquensis,10
66,Ilerdaegomphus_torcae,10
67,Nannoaeschnidium_pumilio,10
68,Sinaeschnidia_martinezdelclosi,10
69,Hoyaeschna_cretacica,10
70,Hispanoblatta_sumptuosa,10
71,Nogueroblatta_fontllongae,10
72,Meiatermes_bertrani,10
73,Gryllus_sp.,10
74,Chresmoda_aquatica,10
75,Pachypsyche_vidali,10
76,Hispanepa_conquensis,10
77,Torcanepa_magnapes,10
78,Iberonepa_romerali,10
79,Kalligramma_sp.,10
80,Allopterus_mayorgai,10
81,Armandochrysopa_inexpecta,10
82,Chimerochrysopa_incerta,10
83,Triangulochrysopa_sanzii,10
84,Nanochrysopa_sp.,10
85,Panorpa_sp.,10
86,Archaeoscolia_hispanica,10
87,Cretoscolia_conquensis,10
88,Chironomus_sp.,10
89,Chaoborus_sp.,10
90,Stratiomys_sp.,10
91,Tabanus_sp.,10
92,Tipula_sp.,10
93,Prosoeca_(Paleombolus)_saxea,10
94,Potamophylax_sp.,10
95,Tetraphalerus_ponomarenkoi,10
96,Zygadenia_diazromerali,10
97,Zygadenia_longicoxa,10
98,Zygadenia_martinclosas,10
99,Zygadenia_siniestri,10
100,Zygadenia_viridis,10
101,Anaglyphites_zherikhini,10
102,Martynopsis_laticollis,10
103,Priacma_sanzii,10
104,Hispanoclavia_diazromerali,10
105,Hispanoclavia_gratshevi,10
106,Hoyaclava_buscalionae,10
107,Ovonectes_pilosum,10
108,Megacoptoclava_longiurogomphia,10
109,Ditiscus_sp.,10
110,Gyrinus_sp.,10
111,Trachypachus_sp.,10
112,Lucanus_sp.,10
113,Hydrophilus_sp.,10
114,Nitidula_sp.,10
115,Elater_sp.,10
116,Staphylinus_sp.,10
117,Buprestis_sp.,10
118,Scarabeus_sp.,10
119,Distenorrhinus_xavieri,10
120,Byrrhus_sp.,10
121,Ptilodactyla_sp.,10
122,Lonchidion_sp.,10
123,Amiopsis_woodwardii,10
124,Vidalamia_catalunica,10
125,Lepidhoyas_microrhis,10
126,Hoyasotes_tanyrhis,10
127,Notagogus_ferreri,10
128,Propterus_sp.,10
129,Stenamara_mia,10
130,Turbomesodon_praeclarus,10
131,Gordichthys_conquensis,10
132,Rubiesichthys_gregalis,10
133,Pleuropholis_sp.,10
134,Holophagus_sp.,10
135,Celtedens_ibericus,10
136,Gracilibatrachus_avallei,10
137,Iberobatrachus_angelae,10
138,Eodiscoglossus_sp.,10
139,Hylaeobatrachus_croyii,10
140,Valdotriton_gracilis,10
141,Hoyasemis_jimenezi,10
142,Paramacellodus_sp.,10
143,Hoyalacerta_sanzi,10
144,Scandensia_ciervensis,10
145,Meyasaurus_diazromerali,10
146,Jucaraseps_grandipes,10
147,Montsecosuchus_depereti,10
148,Goniopholis_crassidens,10
149,Unasuchus_sp.,10
150,Ornithocheiroidea_indet.,10
151,Azhdarchoidea_indet.,10
152,Europejara_olcadesorum,10
153,Mantellisaurus_atherfieldensis,10
154,Pelecanimimus_polyodon,10
155,Concavenator_corcovatus,10
156,Concornis_lacustris,10
157,Eoalulavis_hoyasi,10
158,Iberomesornis_romerali,10
159,Spinolestes_xenarthrosus,10
