Source,Target
2,6
2,30
2,33
2,35
2,36
2,45
2,48
3,1
3,18
3,36
3,38
3,39
3,40
3,53
3,65
3,69
4,36
4,40
7,8
7,59
9,14
9,31
9,34
9,52
10,1
10,62
10,63
17,12
19,33
19,36
19,69
20,34
21,34
23,3
23,8
23,17
23,19
23,22
23,23
23,30
23,33
23,35
23,36
23,37
23,38
23,39
23,40
23,48
23,53
23,54
23,58
23,59
23,60
23,65
23,69
24,69
26,50
30,7
30,8
30,12
30,13
30,16
30,17
30,19
30,25
30,27
30,34
30,36
30,41
30,48
30,61
30,66
30,68
32,3
32,9
32,17
32,21
32,24
32,30
32,35
32,38
32,42
32,53
32,61
32,69
33,5
33,7
33,20
33,31
33,32
33,35
33,39
33,40
33,44
33,62
33,67
35,5
35,27
35,44
37,53
39,20
39,35
39,44
39,48
39,49
41,68
42,2
42,5
42,35
42,40
42,42
42,44
42,49
42,56
42,59
42,63
42,64
42,65
42,67
43,4
44,20
44,27
44,63
46,23
46,29
46,32
46,41
46,49
46,51
49,13
51,3
51,4
51,6
51,8
51,17
51,19
51,21
51,22
51,23
51,24
51,30
51,37
51,46
51,47
51,50
51,51
51,57
51,58
51,59
53,27
53,33
53,36
53,40
53,52
54,33
58,38
58,53
59,18
59,32
59,41
61,15
65,4
65,11
65,12
65,28
65,35
65,40
65,48
65,49
65,51
65,53
65,54
65,56
65,60
65,66
69,67
