Id,Label,Size
1,Acer_drummondii,10
2,Agkistrodon_piscivorus,10
3,Anas_cyanoptera,10
4,Anhinga_anhinga,10
5,Aristolochia_serpentaria,10
6,Asio_flammeus,10
7,Aythya_valisineria,10
8,Bartramia_longicauda,10
9,Branta_bernicla,10
10,Branta_leucopsis,10
11,Buteo_swainsoni,10
12,Carex_decomposita,10
13,Carex_reniformis,10
14,Carpinus_caroliniana,10
15,Carya_aquatica,10
16,Chen_rossii,10
17,Corvus_ossifragus,10
18,Crataegus_monogyna,10
19,Cryptobranchus_alleganiensis,10
20,Dendroica_cerulea,10
21,Ducula_perspicillata,10
22,Egretta_caerulea,10
23,Egretta_thula,10
24,Eudocimus_albus,10
25,Eupatorium_incarnatum,10
26,Falco_mexicanus,10
27,Forestiera_acuminata,10
28,Fraxinus_tomentosa,10
29,Fregata_magnificens,10
30,Gallinula_chloropus,10
31,Gleditsia_aquatica,10
32,Haliaeetus_leucocephalus,10
33,Hybognathus_hayi,10
34,Hydrocotyle_ranunculoides,10
35,Hyla_avivoca,10
36,Hyla_cinerea,10
37,Ictinia_misisippiensis,10
38,Lepomis_miniatus,10
39,Lepomis_symmetricus,10
40,Limnothlypis_swainsonii,10
41,Lutra_canadensis,10
42,Macrochelys_temminckii,10
43,Mycteria_americana,10
44,Myotis_grisescens,10
45,Myotis_sodalis,10
46,Nerodia_cyclopion,10
47,Nerodia_fasciata,10
48,Notropis_boops,10
49,Notropis_maculatus,10
50,Nycticorax_nycticorax,10
51,Nycticorax_violaceus,10
52,Nyssa_aquatica,10
53,Orconectes_(Orconectes)_inermis,10
54,Oryzomys_palustris,10
55,Panicum_joorii,10
56,Planera_aquatica,10
57,Plegadis_falcinellus,10
58,Porphyrula_martinica,10
59,Potamilus_capax,10
60,Protonotaria_citrea,10
61,Pseudacris_streckeri,10
62,Quercus_nuttallii,10
63,Quercus_pagoda,10
64,Quercus_phellos,10
65,Sterna_antillarum,10
66,Styrax_americanus,10
67,Taxodium_distichum,10
68,Thalia_dealbata,10
69,Tyrannus_forficatus,10
