Source,Target,Type
2,2,1
2,3,1
2,10,1
2,11,1
2,16,1
2,17,1
2,19,1
2,21,1
2,26,1
2,32,1
2,35,1
2,43,1
2,46,1
2,50,1
3,13,1
3,52,1
3,66,1
4,3,2
4,6,2
4,17,2
4,21,2
4,30,2
4,46,2
4,50,2
4,51,2
4,57,2
7,2,2
7,3,2
7,4,2
7,6,2
7,7,2
7,8,2
7,9,2
7,10,2
7,11,2
7,21,2
7,24,2
7,29,2
7,30,2
7,37,2
7,43,2
7,47,2
7,52,1
7,57,2
7,58,2
9,27,1
9,34,1
9,66,1
10,5,1
10,15,1
10,18,1
10,31,1
10,34,1
10,68,1
16,1,1
16,18,1
16,34,1
16,56,1
16,63,1
19,36,2
21,3,2
21,6,2
21,15,1
21,17,2
21,23,2
21,30,2
21,38,2
21,46,2
21,54,2
21,56,1
21,57,2
21,65,2
21,68,1
21,69,2
24,3,2
24,4,2
24,6,2
24,7,2
24,8,2
24,9,2
24,11,2
24,17,2
24,19,2
24,21,2
24,22,2
24,23,2
24,24,2
24,29,2
24,30,2
24,37,2
24,38,2
24,46,2
24,47,2
24,50,2
24,51,2
24,54,2
24,57,2
24,58,2
24,65,2
29,3,2
29,4,2
29,6,2
29,7,2
29,8,2
29,9,2
29,11,2
29,17,2
29,19,2
29,21,2
29,22,2
29,23,2
29,24,2
29,29,2
29,30,2
29,37,2
29,46,2
29,47,2
29,50,2
29,51,2
29,57,2
29,58,2
30,3,1
30,7,1
30,8,1
30,10,1
30,12,1
30,22,1
30,29,1
30,31,1
30,37,1
30,39,1
30,41,1
30,44,1
30,45,1
30,47,1
30,48,1
30,52,1
30,56,1
30,58,1
30,66,1
32,7,1
32,8,1
32,10,1
32,11,1
32,16,1
32,17,1
32,20,1
32,23,1
32,24,1
32,26,1
32,30,1
32,35,1
32,36,1
32,37,1
32,41,1
32,57,1
32,61,1
35,12,1
35,62,1
38,52,1
38,69,2
39,18,1
39,44,2
39,61,2
42,3,1
42,7,1
42,10,1
42,16,1
42,22,1
42,23,1
42,30,1
42,34,1
42,38,1
42,44,1
42,48,1
42,54,1
42,58,1
42,68,1
43,2,2
43,3,2
43,4,2
43,6,2
43,7,2
43,8,2
43,9,2
43,10,2
43,11,2
43,16,2
43,17,2
43,19,2
43,21,2
43,22,2
43,23,2
43,24,2
43,26,2
43,29,2
43,30,2
43,36,2
43,37,2
43,38,2
43,40,2
43,43,2
43,46,2
43,47,2
43,50,2
43,51,2
43,54,2
43,57,2
43,58,2
43,65,2
43,69,2
44,28,1
44,63,1
44,67,1
46,4,1
46,8,1
46,16,1
46,21,1
46,23,1
46,24,1
46,30,1
46,32,1
46,37,1
46,38,1
46,44,1
46,46,1
46,50,1
46,51,1
46,58,1
46,60,1
46,61,1
46,65,1
48,18,1
48,31,1
54,1,1
54,36,2
54,40,2
54,52,1
54,55,1
54,62,1
58,56,1
61,61,2
61,64,1
65,18,1
65,19,1
65,24,1
65,26,1
65,30,1
65,32,1
65,35,1
65,36,1
65,47,1
65,48,1
65,54,1
65,55,1
65,66,1
69,12,1
69,14,1
69,28,1
