Source,Target
1,1
1,3
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,17
1,18
1,20
1,21
1,22
1,23
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,36
1,37
1,38
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,53
1,54
1,56
1,58
1,59
1,60
1,61
1,62
1,63
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,77
1,79
1,81
1,82
1,83
1,84
1,85
1,90
1,91
1,95
1,96
1,97
1,99
1,100
1,101
1,102
1,103
1,104
3,1
3,6
3,11
3,12
3,25
3,27
3,29
3,32
3,35
3,39
3,52
3,53
3,63
3,77
3,85
3,92
3,93
3,96
3,98
4,4
4,14
4,22
4,24
4,25
4,34
4,39
4,44
4,49
4,55
4,66
4,68
4,72
4,79
4,82
4,96
4,103
5,3
5,5
5,6
5,7
5,26
5,27
5,28
5,29
5,30
5,32
5,37
5,38
5,42
5,43
5,47
5,54
5,56
5,58
5,59
5,61
5,62
5,63
5,68
5,70
5,71
5,72
5,73
5,74
5,75
5,79
5,81
5,82
5,84
5,90
5,91
5,95
5,96
5,99
5,100
5,101
5,102
5,104
7,4
7,34
7,35
7,39
7,50
7,55
7,78
7,86
7,89
7,93
7,94
7,98
11,2
11,52
11,57
14,10
14,46
14,76
15,101
16,2
20,4
20,17
20,28
20,34
20,35
20,39
20,49
20,50
20,55
20,78
20,80
20,86
20,89
20,93
20,94
20,98
23,7
23,20
23,33
23,34
23,39
23,47
23,51
23,54
23,55
23,58
23,59
23,69
23,74
23,80
23,88
23,95
23,97
23,103
23,104
31,9
31,35
31,38
31,39
31,41
31,46
31,48
31,51
31,53
31,71
31,75
31,77
31,96
31,101
31,104
36,57
40,8
40,34
40,48
40,49
40,51
40,54
40,60
40,63
40,75
40,77
40,93
40,99
40,101
45,37
45,38
45,56
45,61
45,62
46,4
46,17
46,28
46,69
46,72
46,86
46,89
46,90
46,94
46,98
48,4
48,6
48,7
48,10
48,21
48,26
48,29
48,35
48,36
48,46
48,49
48,52
48,54
48,55
48,60
48,63
48,66
48,80
48,84
48,85
51,2
51,19
51,24
51,92
52,19
59,24
60,2
60,6
60,7
60,10
60,23
60,24
60,29
60,31
60,33
60,34
60,42
60,45
60,55
60,65
60,76
60,80
60,82
60,92
60,100
61,10
61,18
61,20
61,23
61,46
61,60
61,65
61,76
63,3
63,4
63,5
63,6
63,7
63,11
63,17
63,26
63,27
63,28
63,29
63,30
63,32
63,36
63,37
63,38
63,42
63,43
63,44
63,47
63,53
63,54
63,56
63,58
63,59
63,61
63,62
63,63
63,68
63,69
63,70
63,71
63,72
63,73
63,74
63,75
63,79
63,81
63,82
63,83
63,84
63,86
63,89
63,90
63,91
63,94
63,95
63,96
63,98
63,99
63,100
63,101
63,102
63,104
64,4
64,6
64,10
64,20
64,31
64,42
64,50
64,58
64,66
64,89
64,91
66,3
66,38
66,43
66,61
66,73
67,11
67,26
67,29
67,37
67,43
67,56
67,65
67,68
67,75
67,76
67,78
67,79
67,83
67,100
68,78
68,80
69,5
69,6
69,19
69,20
69,22
69,38
69,42
69,44
69,59
69,63
69,67
69,72
69,73
69,83
69,85
69,86
69,96
69,97
75,4
75,5
75,14
75,31
75,40
75,59
75,60
75,78
75,80
75,83
75,88
78,80
81,98
84,3
84,5
84,7
84,17
84,24
84,26
84,27
84,28
84,29
84,30
84,32
84,37
84,38
84,42
84,43
84,47
84,53
84,54
84,56
84,58
84,59
84,61
84,62
84,63
84,68
84,69
84,70
84,71
84,72
84,73
84,74
84,75
84,79
84,81
84,82
84,90
84,91
84,95
84,96
84,99
84,100
84,101
84,102
84,104
86,93
91,2
91,6
91,7
91,11
91,15
91,28
91,30
91,35
91,49
91,57
91,61
91,65
91,67
91,68
91,74
91,76
91,83
91,85
91,93
93,19
93,87
95,4
95,10
95,19
95,24
95,25
95,50
95,62
95,64
95,73
95,76
95,79
95,86
95,96
96,6
96,11
96,14
96,20
96,23
96,28
96,36
96,42
96,49
96,63
96,68
96,72
96,76
96,83
97,2
97,52
100,34
100,35
100,50
100,52
100,55
101,39
101,57
104,57
