Id,Label,Size
1,Accipiter_cooperii,10
2,Aganippea_bellidiflora,10
3,Agelaius_phoeniceus,10
4,Algansea_barbata,10
5,Ambystoma_granulosum,10
6,Ambystoma_lermaense,10
7,Ammodramus_savannarum,10
8,Anas_acuta,10
9,Anas_americana,10
10,Anas_clypeata,10
11,Anas_crecca,10
12,Anas_cyanoptera,10
13,Anas_discors,10
14,Anas_platyrhynchos,10
15,Anas_strepera,10
16,Anser_anser,10
17,Anthus_rubescens,10
18,Ardea_alba,10
19,Arenaria_bourgaei,10
20,Aythya_affinis,10
21,Aythya_americana,10
22,Aythya_valisineria,10
23,Bassariscus_astutus,10
24,Bidens_chrysanthemoides,10
25,Bubulcus_ibis,10
26,Calidris_bairdii,10
27,Calidris_melanotos,10
28,Calidris_minutilla,10
29,Carduelis_psaltria,10
30,Carpodacus_mexicanus,10
31,Cathartes_aura,10
32,Charadrius_vociferus,10
33,Chirostoma_riojai,10
34,Cistothorus_palustris,10
35,Cistothorus_platensis,10
36,Columba_livia,10
37,Columbina_inca,10
38,Coturnicops_noveboracensis,10
39,Dendroica_coronata,10
40,Didelphis_virginiana,10
41,Egretta_thula,10
42,Eremophila_alpestris,10
43,Euphagus_cyanocephalus,10
44,Falco_columbarius,10
45,Falco_peregrinus,10
46,Fulica_americana,10
47,Gallinago_gallinago,10
48,Gallinula_chloropus,10
49,Geothlypis_speciosa,10
50,Geothlypis_trichas,10
51,Girardinichthys_multiradiatus,10
52,Habenaria_limosa,10
53,Himantopus_mexicanus,10
54,Hirundo_rustica,10
55,Hyla_eximia,10
56,Lanius_ludovicianus,10
57,Leersia_hexandra,10
58,Limnodromus_scolopaceus,10
59,Melospiza_melodia,10
60,Mephitis_macroura,10
61,Molothrus_aeneus,10
62,Molothrus_ater,10
63,Mustela_frenata,10
64,Notropis_sallei,10
65,Nycticorax_nycticorax,10
66,Oxyura_jamaicensis,10
67,Pandion_haliaetus,10
68,Passer_domesticus,10
69,Passerculus_sandwichensis,10
70,Passerina_caerulea,10
71,Peromyscus_maniculatus,10
72,Petrochelidon_pyrrhonota,10
73,Phalaropus_tricolor,10
74,Picoides_scalaris,10
75,Pipilo_fuscus,10
76,Plegadis_chihi,10
77,Podilymbus_podiceps,10
78,Polioptila_caerulea,10
79,Porzana_carolina,10
80,Psaltriparus_minimus,10
81,Quiscalus_mexicanus,10
82,Quiscalus_palustris,10
83,Rallus_elegans,10
84,Rallus_limicola,10
85,Recurvirostra_americana,10
86,Riparia_riparia,10
87,Sagittaria_macrophylla,10
88,Sagittaria_sagittifolia,10
89,Sayornis_nigricans,10
90,Seiurus_noveboracensis,10
91,Sigmodon_(Sigmodon)_hispidus,10
92,Spiranthes_graminea,10
93,Sporophila_torqueola,10
94,Stelgidopteryx_serripennis,10
95,Sturnella_magna,10
96,Sturnus_vulgaris,10
97,Sylvilagus_floridanus,10
98,Tachycineta_thalassina,10
99,Toxostoma_curvirostre,10
100,Tringa_flavipes,10
101,Turdus_migratorius,10
102,Tyrannus_vociferans,10
103,Tyto_alba,10
104,Zenaida_macroura,10
