Source,Target,Type
3,3,1
3,22,1
3,40,1
3,43,1
3,51,1
3,60,1
3,70,1
3,73,1
3,80,1
3,87,1
3,89,1
3,101,1
4,1,1
4,7,1
4,10,1
4,16,1
4,17,1
4,20,1
4,21,1
4,25,1
4,26,1
4,30,1
4,34,1
4,40,1
4,41,1
4,56,1
4,57,1
4,64,1
4,65,1
4,79,1
4,84,1
4,85,1
4,87,1
4,89,1
4,103,1
9,1,2
9,8,2
9,9,2
9,10,2
9,12,2
9,13,2
9,14,2
9,15,2
9,20,2
9,21,2
9,22,2
9,25,2
9,31,2
9,33,2
9,45,2
9,46,2
9,48,2
9,60,2
9,65,2
9,66,2
9,67,2
9,76,2
9,85,2
9,97,2
9,103,2
12,12,2
12,13,2
12,36,2
12,41,2
12,48,2
12,85,2
13,92,1
14,1,2
14,3,2
14,5,2
14,6,2
14,11,2
14,12,2
14,13,2
14,25,2
14,27,2
14,29,2
14,30,2
14,32,2
14,33,2
14,36,2
14,37,2
14,38,2
14,41,2
14,43,2
14,44,2
14,47,2
14,48,2
14,53,2
14,56,2
14,58,2
14,61,2
14,62,2
14,63,2
14,73,2
14,74,2
14,77,2
14,81,2
14,82,2
14,83,2
14,84,2
14,85,2
14,88,1
14,91,2
14,95,2
14,96,2
14,99,2
14,100,2
14,101,2
14,103,2
17,4,2
17,94,2
20,78,2
20,80,2
22,38,2
23,1,1
23,2,1
23,4,1
23,6,1
23,8,1
23,17,1
23,25,1
23,33,1
23,36,1
23,38,1
23,44,1
23,52,1
23,54,1
23,59,1
23,68,1
23,80,1
23,89,1
23,91,1
23,102,1
29,93,2
31,5,1
31,8,1
31,9,1
31,15,1
31,22,1
31,37,1
31,39,1
31,48,1
31,59,1
31,61,1
31,63,1
31,67,1
31,84,1
31,103,1
31,104,1
35,35,2
35,50,2
35,55,2
37,2,1
37,24,1
38,37,2
38,56,2
38,57,1
38,61,2
39,78,2
40,5,1
40,14,1
40,16,1
40,17,1
40,24,1
40,33,1
40,41,1
40,57,1
40,63,1
40,69,1
40,79,1
40,85,1
40,101,1
41,101,2
42,34,2
42,35,2
42,39,2
42,49,2
42,50,2
42,55,2
44,34,2
45,10,2
45,18,2
45,46,2
45,65,2
46,68,2
46,71,2
48,2,1
48,5,1
48,6,1
48,9,1
48,15,1
48,17,1
48,23,1
48,28,1
48,31,1
48,44,1
48,46,1
48,62,1
48,67,1
48,98,1
48,100,1
51,52,1
51,88,1
52,57,1
52,88,1
54,78,2
54,80,2
54,93,2
60,1,1
60,3,1
60,5,1
60,12,1
60,22,1
60,24,1
60,26,1
60,41,1
60,45,1
60,57,1
60,66,1
60,68,1
60,77,1
60,78,1
60,91,1
60,95,1
60,103,1
62,92,1
64,2,1
64,3,1
64,17,1
64,28,1
64,29,1
64,32,1
64,46,1
64,57,1
64,58,1
64,78,1
64,85,1
64,86,1
64,100,1
64,101,1
64,103,1
67,3,1
67,8,1
67,10,1
67,23,1
67,29,1
67,39,1
67,44,1
67,45,1
67,60,1
67,64,1
67,76,1
67,81,1
67,82,1
67,98,1
67,100,1
68,78,2
68,80,2
69,5,1
69,26,1
69,31,1
69,34,1
69,38,1
69,40,1
69,43,1
69,52,1
69,54,1
69,58,1
69,61,1
69,70,1
69,84,1
69,90,1
69,96,1
72,39,2
72,93,2
74,92,1
75,6,1
75,11,1
75,12,1
75,18,1
75,22,1
75,30,1
75,31,1
75,32,1
75,42,1
75,51,1
75,54,1
75,60,1
75,66,1
75,67,1
75,77,1
75,79,1
75,80,1
75,89,1
75,100,1
76,39,2
76,93,2
77,1,2
77,12,2
77,13,2
77,25,2
77,33,2
77,36,2
77,41,2
77,48,2
77,77,2
77,85,2
77,103,2
81,53,2
81,63,2
85,2,1
85,39,2
85,49,2
85,78,2
85,93,2
91,5,1
91,8,1
91,15,1
91,16,1
91,43,1
91,52,1
91,54,1
91,63,1
91,67,1
91,76,1
91,85,1
91,97,1
91,98,1
95,5,1
95,6,1
95,17,1
95,19,1
95,27,1
95,28,1
95,29,1
95,34,1
95,42,1
95,68,1
95,72,1
95,73,1
95,78,1
95,84,1
95,102,1
96,8,1
96,10,1
96,16,1
96,21,1
96,22,1
96,32,1
96,33,1
96,38,1
96,39,1
96,42,1
96,45,1
96,51,1
96,52,1
96,56,1
96,63,1
96,71,1
96,80,1
96,86,1
96,93,1
96,99,1
96,102,1
97,2,1
102,80,2
103,17,2
103,28,2
103,69,2
103,72,2
104,87,1
