Source,Target
3,26
3,40
3,48
4,22
4,26
5,18
5,22
5,71
6,2
6,8
6,9
6,14
6,16
6,17
6,29
6,41
6,43
6,46
6,54
6,55
6,69
10,52
11,2
11,7
11,50
11,62
12,8
12,45
12,58
16,10
16,20
16,21
16,32
16,44
16,46
16,47
16,49
16,56
17,35
20,1
20,6
20,9
20,16
20,19
20,29
20,36
20,40
20,48
20,71
21,7
21,71
23,65
24,71
28,26
28,34
28,40
28,48
28,65
28,67
28,72
29,14
29,33
29,51
29,55
29,60
29,64
29,72
30,8
30,41
30,45
30,54
30,57
30,59
30,62
30,72
31,3
31,5
31,12
31,30
31,31
31,39
31,41
31,45
31,59
31,69
32,24
32,28
32,63
36,23
37,2
37,26
37,57
37,72
39,17
39,28
39,37
39,40
39,47
39,50
39,58
39,63
39,68
39,71
44,45
44,60
46,18
47,67
49,9
49,24
49,38
49,54
52,24
52,28
52,38
52,63
55,19
55,31
55,33
55,37
56,9
56,40
61,48
64,24
64,28
64,38
64,60
64,63
64,69
64,72
68,16
68,20
68,23
68,38
