Id,Label,Size
1,Aequidens_rivulatus,10
2,Albizia_guachapele,10
3,Alouatta_palliata,10
4,Anas_discors,10
5,Animalia_Astyanax_sp.,10
6,Animalia_Macrobrachium_sp.,10
7,Artocarpus_altilis,10
8,Bambusa_guadua,10
9,Bixa_orellana,10
10,Bothrops_asper,10
11,Bradypus_variegatus,10
12,Brycon_atrocaudatus,10
13,Bubulcus_ibis,10
14,Butorides_striatus,10
15,Cacicus_cela,10
16,Caiman_crocodilus,10
17,Cairina_moschata,10
18,Carica_papaya,10
19,Casmerodius_albus,10
20,Chelydra_serpentina,10
21,Cherax_quadricarinatus,10
22,Chlorophora_tinctoria,10
23,Cichlasoma_festae,10
24,Columbina_talpacoti,10
25,Cordia_alliodora,10
26,Crescentia_cujete,10
27,Crypturellus_transfasciatus,10
28,Curimatorbis_boulengeri,10
29,Dasypus_novemcinctus,10
30,Dendrocygna_bicolor,10
31,Didelphis_marsupialis,10
32,Dormitator_latifrons,10
33,Egretta_thula,10
34,Eichhornia_crassipes,10
35,Erythrina_poeppigiana,10
36,Florida_caerulea,10
37,Forpus_coelestis,10
38,Furnarius_leucopus,10
39,Gallinula_chloropus,10
40,Gossypium_herbaceum,10
41,Guazuma_ulmifolia,10
42,Himantopus_mexicanus,10
43,Hoplias_microlepis,10
44,Ichthyoelephas_humeralis,10
45,Inga_vera,10
46,Jacana_jacana,10
47,Lontra_longicaudis,10
48,Malpighia_retusa,10
49,Megaceryle_torquata,10
50,Muntingia_calabura,10
51,Myiozetetes_cayanensis,10
52,Noctilio_(Noctilio)_leporinus,10
53,Nyctibius_griseus,10
54,Oryza_sativa,10
55,Pandion_haliaetus,10
56,Philander_opossum,10
57,Plantae_Lemna_sp.,10
58,Plantae_Prosopis_sp.,10
59,Plantae_Triplaris_sp.,10
60,Plantae_Urera_sp.,10
61,Porphyrula_martinica,10
62,Psidium_guajava,10
63,Saltator_striatipectus,10
64,Sciurus_(Guerlinguetus)_granatensis,10
65,Spondias_purpurea,10
66,Tachybaptus_dominicus,10
67,Tectona_grandis,10
68,Tigrisoma_lineatum,10
69,Typha_latifolia,10
70,Tyto_alba,10
71,Vitex_gigantea,10
72,Zea_mays,10
