Source,Target,Type
1,59,1
3,2,1
3,8,1
3,22,1
3,45,1
3,71,1
4,50,1
4,67,1
4,69,1
5,18,1
5,26,1
5,35,1
6,1,1
6,17,1
6,39,1
6,56,1
6,57,1
6,63,1
6,65,1
6,67,1
6,68,1
10,1,2
10,4,2
10,6,2
10,13,2
10,14,2
10,23,2
10,27,2
10,33,2
10,36,2
10,39,2
10,42,2
10,44,2
10,46,2
10,49,2
10,53,2
10,61,2
10,64,2
10,66,2
11,22,1
11,54,1
14,1,2
14,5,2
14,28,2
15,25,1
16,11,1
16,17,1
16,21,1
16,32,1
16,55,1
17,7,1
17,18,1
20,11,1
20,19,1
20,24,1
20,30,1
20,32,1
20,41,1
20,44,1
20,46,1
20,48,1
20,54,1
20,58,1
20,64,1
20,67,1
20,72,1
23,18,1
23,59,1
24,22,1
24,67,1
27,25,1
27,41,1
27,60,1
28,9,1
28,57,1
29,6,1
29,7,1
29,15,1
29,16,1
29,25,1
29,27,1
29,29,1
29,32,1
29,35,1
29,38,1
29,41,1
29,44,1
29,46,1
29,63,1
30,8,1
30,18,1
30,22,1
30,35,1
30,45,1
30,58,1
30,67,1
31,1,1
31,18,1
31,25,1
31,26,1
31,31,1
31,36,1
31,38,1
31,47,1
31,52,1
31,54,1
33,14,2
33,23,2
33,42,2
33,44,2
33,53,2
33,66,2
37,9,1
37,25,1
37,35,1
37,65,1
39,9,1
39,10,1
39,18,1
39,23,1
39,62,1
39,67,1
44,18,1
44,58,1
44,60,1
44,67,1
46,5,2
46,18,1
46,25,1
46,46,2
46,54,1
47,2,1
49,5,2
49,14,2
49,15,2
49,22,1
49,23,2
49,42,2
49,53,2
49,61,2
49,65,1
55,3,1
55,16,1
55,52,1
64,71,1
68,5,1
68,13,1
68,51,1
